"name","source_side","source_path","candidate_path","file_count","dir_count","size_bytes","has_skill_md","has_agents_dir","has_references_dir","has_scripts_dir"
"ad-creative","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\ad-creative","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\ad-creative","4","1","44830","True","False","True","False"
"automation","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\automation","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\automation","1","0","15520","True","False","False","False"
"binding","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\binding","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\binding","1","0","5251","True","False","False","False"
"blueprint","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\blueprint","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\blueprint","1","0","3742","True","False","False","False"
"campaign-plan","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\campaign-plan","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\campaign-plan","2","0","25101","True","False","False","False"
"canvas","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\canvas","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\canvas","1","0","4912","True","False","False","False"
"churn-prevention","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\churn-prevention","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\churn-prevention","7","2","62660","True","False","True","True"
"content-research-writer","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\content-research-writer","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\content-research-writer","2","0","25491","True","False","False","False"
"copy-editing","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\copy-editing","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\copy-editing","3","1","23049","True","False","True","False"
"copywriting","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\copywriting","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\copywriting","4","1","22248","True","False","True","False"
"daily-report","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\daily-report","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\daily-report","1","0","11132","True","False","False","False"
"daimon-widget-cards","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\daimon-widget-cards","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\daimon-widget-cards","1","0","4345","True","False","False","False"
"darwin-runbook","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\darwin-runbook","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\darwin-runbook","1","0","5093","True","False","False","False"
"docx","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\docx","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\docx","70","13","1360013","True","False","True","True"
"humanizer-zh","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\humanizer-zh","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\humanizer-zh","3","0","28517","True","False","False","False"
"kimi-design-skill","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\kimi-design-skill","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\kimi-design-skill","308","6","810218","True","False","True","False"
