"name","source_side","has_skill_md","skill_md_sha256","source_path"
"ad-creative","kimi","True","B5C663A1D0CF3381FF744CCB1CDC4EA385139959736735371DAC072278737C6D","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\ad-creative"
"automation","kimi","True","E61908BC55030E822E3D9A84E1517226F16612BCD0DCD22E1D7FD16B2A9412FB","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\automation"
"binding","kimi","True","91613248BFE341633B04B13BD73F6816F0A9418FD4E95352F14BAC20A83382B6","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\binding"
"blueprint","kimi","True","AB923B4812115A56115134C39F6D222DFDD1485A629F7AF75A61BB18E3C301F3","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\blueprint"
"campaign-plan","kimi","True","BE5CF4DF6652D0BA682CAFCBEE76B393207370766491B19897BBE0A794E0E042","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\campaign-plan"
"canvas","kimi","True","44547B47E5A14CDDC69C1CFE77FC91A15283CB25E91B4E066583234B923CF25E","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\canvas"
"churn-prevention","kimi","True","8D0F6262768609E4EF06C9B4EB59B2C6076B596740A3F9D167425F22ADD00CC9","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\churn-prevention"
"content-research-writer","kimi","True","7FF43956289F9812641AC49DB7BE8A430CD1474EB3522523015666685DB186F5","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\content-research-writer"
"copy-editing","kimi","True","0BBBF9F6F8DC48ED40C634E329DB78E2F492D2D5103BED3DB5C6EF777C247B57","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\copy-editing"
"copywriting","kimi","True","8AC1307283DD0E3A8F1D23AF753E088D8460D29BF1141C4E80F03A6BAB2A0A1C","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\copywriting"
"daily-report","kimi","True","34F80D4CC1B68D00EEB6AE208FF029CB026785AC2C54D77996B1E76C94B58568","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\daily-report"
"daimon-widget-cards","kimi","True","4630D90BC38A622175D8F26B737043B1D35F6E3ECBC2E3C5AFBAEB7D3CD319F9","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\daimon-widget-cards"
"darwin-runbook","kimi","True","4F67A149BA08833D1CBAFCF9857F8088CF7AB960213A4608FD0797B0D4A0C41F","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\darwin-runbook"
"docx","kimi","True","EE5D54B9435897B5AAA9B4E3BAA90CC75BA19C867E76E4302BAA9CE6C9A51B5A","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\docx"
"humanizer-zh","kimi","True","C86EBFE87442992E74F5550E014A5E9714DA56CCF0DE7F2E949355D6FEC05C2B","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\humanizer-zh"
"kimi-design-skill","kimi","True","7AB98A491782D2B1460977DD2BF79DBE677AAD8399CFAED66AF886FBAEE584D3","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\kimi-design-skill"
"kimi-slides","kimi","True","B5B5146CA3E522C9DF7E5F935EB613D56BCDCE6E6AE7E3E7AEC0A9645BC426B5","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\kimi-slides"
"kimi-webbridge","kimi","True","6A2AB08680D904C9BFA30CAE07729069D19440DAA25DBD090FFC78A79A0D169A","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\kimi-webbridge"
"legal-risk-assessment","kimi","True","D785BDA1B959FDE52AFA2A84CE6D8FAA9233D817D8FAC7BA051DABFC75643C58","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\legal-risk-assessment"
"manual-gates","kimi","True","E3199AA040D9DC1E4761BFC4AFEA9293F1D2D35632716961B1256D72B1F6F49B","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\manual-gates"
"mckinsey-structured-thinking","kimi","True","694A62BAD4663FF4DA8076736D0AC2DF155A1CC50182407D91C1875854CD405B","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\mckinsey-structured-thinking"
"md-to-pdf","kimi","True","5328504729346A2AE3EBC4E4D40D1D2F584F01AB9B21FB00C2663B567F4815FE","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\md-to-pdf"
"memory-widget","kimi","True","2FA08B63320E4A85DBF08EB5942839FA85B442D0468F34705DB78849E0815E1B","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\memory-widget"
"nuwa-runbook","kimi","True","8B8E8A2D6E05B9430B40419B6087DFAD179964319154D029B643721BBB590098","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\nuwa-runbook"
"pdf","kimi","True","85090D92F3250441FEA3CF021477DD06E945720586011AF5C6B72AB75BD1C384","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\pdf"
"pricing-strategy","kimi","True","0093163B6E69E90024E852F59C00D5A0387596EE83F78029CAADBF27B6DCB2D5","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\pricing-strategy"
"process-doc","kimi","True","2C0FC1394ADACA4661169BA9257858B9E3C9D06AAFDD7611BF93D9DA26C8E1E9","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\process-doc"
"saas-metrics-coach","kimi","True","755C39F23A65F988A1A96DFE4905572A2AEE9849FDAF74CF745A0E1D7A3B3395","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\saas-metrics-coach"
"scientific-problem-selection","kimi","True","B75BDB8E4F7575C1CABE3D72C82C77BCC08FAADE16D2E42EFFD302E770C07D0E","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\scientific-problem-selection"
"seaborn-visualization","kimi","True","0E6EFADC3971EEBEBB684AB36601F2AF3D28E712FB197C493AB4D19613E51D62","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\seaborn-visualization"
"seo-audit","kimi","True","03280B2D177A39C7DC057CCD30971033CE2723A04202CEB7C605E5D45809C514","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\seo-audit"
"skill-creator","kimi","True","FA6B4342A8D5558EFB8093C2DE77D76E35DF9BF84620C3A5F7ECE446440762B5","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\skill-creator"
"webapp-building","kimi","True","B1DE32CAE9DC758440E3330B983FF8721C1C32B8735677433B851034EF01EC60","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\webapp-building"
"widget","kimi","True","2E4A9890F4EDAF3678DA7286ED4375C706EC83ED47CED821660959275DD18951","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\widget"
