"name","source_side","format_class","has_skill_md","has_agents_dir","has_references_dir","has_scripts_dir","action_before_switch"
"ad-creative","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"automation","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"binding","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"blueprint","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"campaign-plan","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"canvas","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"churn-prevention","kimi","kimi_skill_md_style","True","False","True","True","no format blocker found"
"content-research-writer","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"copy-editing","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"copywriting","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"daily-report","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"daimon-widget-cards","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"darwin-runbook","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"docx","kimi","kimi_skill_md_style","True","False","True","True","no format blocker found"
"humanizer-zh","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"kimi-design-skill","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"kimi-slides","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"kimi-webbridge","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"legal-risk-assessment","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"manual-gates","kimi","kimi_skill_md_style","True","False","False","True","no format blocker found"
"mckinsey-structured-thinking","kimi","kimi_skill_md_style","True","False","True","True","no format blocker found"
"md-to-pdf","kimi","kimi_skill_md_style","True","False","False","True","no format blocker found"
"memory-widget","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"nuwa-runbook","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"pdf","kimi","kimi_skill_md_style","True","False","False","True","no format blocker found"
"pricing-strategy","kimi","kimi_skill_md_style","True","False","True","True","no format blocker found"
"process-doc","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"saas-metrics-coach","kimi","kimi_skill_md_style","True","False","True","True","no format blocker found"
"scientific-problem-selection","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"seaborn-visualization","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"seo-audit","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"skill-creator","kimi","kimi_skill_md_style","True","False","False","False","no format blocker found"
"webapp-building","kimi","kimi_skill_md_style","True","False","False","True","no format blocker found"
"widget","kimi","kimi_skill_md_style","True","False","True","False","no format blocker found"
"widgetdesign","kimi","kimi_nonstandard_or_asset_skill","True","True","True","False","no format blocker found"
"xlsx","kimi","kimi_skill_md_style","True","False","False","True","no format blocker found"
"code-review","codex","codex_skill_with_agents_subdir","True","True","False","False","verify Kimi runtime ignores or supports agents subdir before junction"
"grill-me","codex","codex_skill_with_agents_subdir","True","True","False","False","verify Kimi runtime ignores or supports agents subdir before junction"
"math-model-selector","codex","codex_skill_with_agents_subdir","True","True","True","True","verify Kimi runtime ignores or supports agents subdir before junction"
"research","codex","codex_skill_with_agents_subdir","True","True","False","False","verify Kimi runtime ignores or supports agents subdir before junction"
"shortdrama-video-generation","codex","codex_skill","True","False","True","False","no format blocker found"
"speech","codex","codex_skill_with_agents_subdir","True","True","True","True","verify Kimi runtime ignores or supports agents subdir before junction"
"to-spec","codex","codex_skill_with_agents_subdir","True","True","False","False","verify Kimi runtime ignores or supports agents subdir before junction"
"to-tickets","codex","codex_skill_with_agents_subdir","True","True","False","False","verify Kimi runtime ignores or supports agents subdir before junction"
"transcribe","codex","codex_skill_with_agents_subdir","True","True","True","True","verify Kimi runtime ignores or supports agents subdir before junction"
